Group,Customer_Segment,Sales_Before,Sales_After,Customer_Satisfaction_Before,Customer_Satisfaction_After,Purchase_Made,Sales_Growth,Satisfaction_Growth,Engagement_Score,ROI_index
Control,High Value,240.5483589,300.0075675,74.68476651,,No,59.4592086,-74.68476651,18.52434,24.71819341
Treatment,High Value,246.8621142,381.3375545,100,100,Yes,134.4754403,0,24.6,54.47390773
Control,High Value,156.9780845,179.3304635,98.78073493,100,No,22.352379,1.21926507,24.30738,14.23917171
Control,Medium Value,192.1267083,229.2780311,49.33376568,39.81184103,Yes,37.1513228,-9.52192465,12.4401,19.33688613
,High Value,229.6856225,,83.97485224,87.73859146,Yes,-229.6856225,3.76373922,20.75396,-100
Treatment,,135.5730031,218.5599879,58.07534156,69.4049177,No,82.9869848,11.32957614,14.53808,61.21202813
Control,High Value,191.7139175,222.4093563,89.96782704,85.12097519,Yes,30.6954388,-4.84685185,22.19228,16.0110644
Control,Low Value,173.752555,213.1682319,66.98471068,67.88155831,,39.4156769,0.89684763,16.67633,22.68494809
,High Value,208.3085772,248.1788297,95.36666991,84.79029369,Yes,39.8702525,-10.57637622,23.488,19.13999559
Treatment,High Value,235.0714932,352.7568721,72.91985146,70.7532251,No,117.6853789,-2.16662636,18.10076,50.06365395
Control,Low Value,139.9315393,170.2383962,59.84476558,,Yes,30.3068569,-59.84476558,14.96274,21.65834597
Control,High Value,,333.0649724,74.38393901,67.94240256,,333.0649724,-6.44153645,0,0
Control,,211.8349368,254.8439122,,87.60154445,Yes,43.0089754,87.60154445,0.6,20.30306051
Control,High Value,217.7760133,259.9896244,100,100,Yes,42.2136111,0,24.6,19.38395807
,Medium Value,173.1834455,284.9242994,81.94912049,,No,111.7408539,-81.94912049,20.26779,64.52167156
Control,Low Value,188.3389625,232.5824858,53.45882198,63.4672245,Yes,44.2435233,10.00840252,13.43012,23.49143412
Treatment,,306.7014523,485.1354245,77.43166165,78.36128221,,178.4339722,0.92962056,19.1836,58.17839168
Treatment,Low Value,164.6363191,242.3219339,50.55733694,63.47724521,No,77.6856148,12.91990827,12.73376,47.18619514
Treatment,,151.7338691,231.6154279,51.64879271,,Yes,79.8815588,-51.64879271,12.99571,52.64583265
Control,Low Value,136.6363153,162.7193515,50.29607851,46.96473643,Yes,26.0830362,-3.33134208,12.67106,19.08938787
Treatment,High Value,225.1631649,355.2104511,,95.05431689,No,130.0472862,95.05431689,0.6,57.75690986
Control,High Value,215.2826142,264.2998633,83.27203259,100,Yes,49.0172491,16.72796741,20.58529,22.76879128
Treatment,Low Value,182.990785,277.891566,51.35488358,64.40241351,No,94.900781,13.04752993,12.92517,51.86096174
Treatment,Medium Value,216.7521262,342.6431039,,68.33514145,Yes,125.8909777,68.33514145,0.6,58.08061951
Treatment,Low Value,193.3651517,293.1838118,57.82708352,62.87584819,No,99.8186601,5.04876467,14.4785,51.62184562
Treatment,Medium Value,199.8974827,317.3884361,74.92718784,75.32867379,No,117.4909534,0.40148595,18.58253,58.77560428
Treatment,Low Value,263.2041451,,56.31138503,45.33645803,Yes,-263.2041451,-10.974927,14.11473,-100
Treatment,Low Value,213.2222877,341.4281557,45.39979304,46.47630106,No,128.205868,1.07650802,11.49595,60.12779873
Treatment,Low Value,128.7666316,202.578297,54.96175661,42.65810995,No,73.8116654,-12.30364666,13.79082,57.32204414
Treatment,High Value,134.0175103,205.5408433,,86.28785873,Yes,71.523333,86.28785873,0.6,53.36864775
Control,Medium Value,162.7869472,197.0942672,64.78195876,71.75744554,Yes,34.30732,6.97548678,16.14767,21.07498211
Control,Medium Value,,256.7950583,72.49876467,,No,256.7950583,-72.49876467,0,0
Treatment,Low Value,145.4048689,226.8527581,59.25262599,53.19109377,No,81.4478892,-6.06153222,14.82063,56.01455427
Treatment,High Value,,132.2872221,39.42157094,100,No,132.2872221,60.57842906,0,0
,High Value,226.6438579,355.9844588,79.27226736,,No,129.3406009,-79.27226736,19.62534,57.06777236
Control,Medium Value,177.4821282,211.2971535,69.5147959,71.92052708,No,33.8150253,2.40573118,17.28355,19.05263682
